Computation Time (32 passwords, rockyou32.txt) on Yescrypt with increasing parameters, 6x AMD Ryzen 5 5600G with Radeon Graphics,Ubuntu 22.04.5 LTS,Python 3.10.12,4 GB RAM
N,Time(s),MemoryUsage(KB)
2000,0.114681,4548
4000,0.230263,8644
6000,0.472382,16836
8000,0.469248,16836
10000,0.552372,384
12000,0.552865,384
14000,0.553018,384
16000,0.55293,384
18000,1.11279,384
20000,1.11336,384
22000,1.25592,384
24000,1.11835,384
26000,1.13255,384
28000,1.1273,384
30000,1.19343,384
32000,1.17872,384
34000,2.37512,384
36000,2.49302,384
38000,2.26063,384
40000,2.38279,384
42000,2.26083,384
44000,2.26329,384
46000,2.35922,384
48000,2.42754,384
50000,2.27965,384
52000,2.33424,384
54000,2.24356,384
56000,2.26068,384
58000,2.25074,384
60000,2.2371,384
62000,2.36213,384
64000,2.24116,384
